id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	3.242361545562744
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	4.026797294616699
0	chain armor	USG-R	chain armor is an armor that uses chains	0	4.063430309295654
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	6.388296127319336
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	4.811314582824707
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	4.200276851654053
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	4.903347015380859
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	4.758269786834717
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	5.292959690093994
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	2.998467445373535
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	3.459190845489502
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	3.7953498363494873
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	5.742627143859863
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	4.30869722366333
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	3.830643892288208
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	3.965475082397461
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	4.424044132232666
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	4.942934513092041
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	3.2075607776641846
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	3.4142959117889404
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	3.8559906482696533
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	5.018146991729736
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	3.979656457901001
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	3.6621930599212646
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	3.989394426345825
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	4.163268089294434
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	4.6929426193237305
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.540030002593994
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	3.8708577156066895
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	4.758746147155762
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	5.903858661651611
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	4.7159223556518555
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	4.0303754806518555
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	4.451904296875
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	4.764092922210693
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	5.375391006469727
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	3.4102866649627686
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	3.557929754257202
4	candy bar	USG-R	candy bar is a bar that uses candy	0	3.9381420612335205
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	5.6035871505737305
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	4.113940238952637
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	3.8860201835632324
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	4.147500038146973
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	4.167917728424072
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	4.609258651733398
