id	compound	class	paraphrase	correct	score
0	布鞋	COMP-R	布鞋是布做成的鞋	1	4.970019817352295
0	布鞋	CONT-R	布鞋是装布的鞋	0	6.581779479980469
0	布鞋	CONT-R	布鞋是有布的鞋	0	6.511821269989014
0	布鞋	PARTONOMY	布鞋是布的鞋	0	6.8389739990234375
0	布鞋	USG-R	布鞋是用布的鞋	0	5.231277942657471
0	布鞋	PRODUCTION	布鞋是生产布的鞋	0	6.258955955505371
0	布鞋	TOPIC-R	布鞋是关于布的鞋	0	4.3321709632873535
0	布鞋	PURPOSE	布鞋是为布设计的鞋	0	4.110434532165527
0	布鞋	PURPOSE	布鞋是为布设立的鞋	0	4.459418296813965
0	布鞋	LOCATION	布鞋是在布上的鞋	0	4.869906902313232
0	布鞋	LOCATION	布鞋是在布边的鞋	0	6.46882438659668
0	布鞋	LOCATION	布鞋是在布里的鞋	0	5.665533065795898
0	布鞋	LOCATION	布鞋是在布中的鞋	0	5.400291442871094
0	布鞋	PROD-R	布鞋是布产生的鞋	0	5.135500907897949
0	布鞋	PROD-R	布鞋是布发出的鞋	0	5.5834150314331055
1	钢板	COMP-R	钢板是钢做成的板	1	4.157155990600586
1	钢板	CONT-R	钢板是装钢的板	0	5.69522762298584
1	钢板	CONT-R	钢板是有钢的板	0	5.288485527038574
1	钢板	PARTONOMY	钢板是钢的板	0	5.006725788116455
1	钢板	USG-R	钢板是用钢的板	0	4.005679130554199
1	钢板	PRODUCTION	钢板是生产钢的板	0	4.118353366851807
1	钢板	TOPIC-R	钢板是关于钢的板	0	4.22029972076416
1	钢板	PURPOSE	钢板是为钢设计的板	0	2.9700443744659424
1	钢板	PURPOSE	钢板是为钢设立的板	0	3.5435171127319336
1	钢板	LOCATION	钢板是在钢上的板	0	3.804270029067993
1	钢板	LOCATION	钢板是在钢边的板	0	5.026507377624512
1	钢板	LOCATION	钢板是在钢里的板	0	4.484800815582275
1	钢板	LOCATION	钢板是在钢中的板	0	3.7791810035705566
1	钢板	PROD-R	钢板是钢产生的板	0	3.8818936347961426
1	钢板	PROD-R	钢板是钢发出的板	0	4.6979475021362305
2	铁道	COMP-R	铁道是铁做成的道	1	4.424222946166992
2	铁道	CONT-R	铁道是装铁的道	0	6.455367088317871
2	铁道	CONT-R	铁道是有铁的道	0	5.161876678466797
2	铁道	PARTONOMY	铁道是铁的道	0	5.559165954589844
2	铁道	USG-R	铁道是用铁的道	0	4.902151584625244
2	铁道	PRODUCTION	铁道是生产铁的道	0	4.535372734069824
2	铁道	TOPIC-R	铁道是关于铁的道	0	4.175166130065918
2	铁道	PURPOSE	铁道是为铁设计的道	0	3.3408477306365967
2	铁道	PURPOSE	铁道是为铁设立的道	0	3.699944496154785
