id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	0.9841262698173523
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	1.8157752752304077
0	chain armor	USG-R	chain armor is an armor that uses chains	0	1.7632839679718018
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	2.8364224433898926
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	1.8154668807983398
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	1.6911247968673706
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	3.157581329345703
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	1.8589096069335938
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	2.27708101272583
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	0.6208146810531616
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	1.243391752243042
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	0.9210742712020874
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	2.0321035385131836
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	1.2195919752120972
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	0.7669100761413574
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	1.7225104570388794
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	1.224684238433838
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	1.6432255506515503
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	0.4036070704460144
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	1.226119875907898
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	0.8871697187423706
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	1.9143478870391846
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	1.073918342590332
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	0.8347986936569214
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	1.9749788045883179
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	1.6003332138061523
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	1.8899033069610596
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	0.5375464558601379
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	0.9731187224388123
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	0.8492209315299988
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	1.7310707569122314
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	0.9990496635437012
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	0.7816215753555298
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	1.4836055040359497
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	1.1992175579071045
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	1.275151252746582
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	0.48133841156959534
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	0.839677631855011
4	candy bar	USG-R	candy bar is a bar that uses candy	0	0.5993474125862122
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	2.0199971199035645
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	1.0071941614151
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	0.4793786108493805
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	1.2295546531677246
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	1.5510622262954712
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	0.9199246168136597
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	0.7484630942344666
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	0.9256942272186279
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	0.8071182370185852
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	1.9008712768554688
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	0.8973065614700317
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	0.847928524017334
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	1.8478809595108032
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	1.3432750701904297
5	wicker basket	PURPOSE	wicker basket is a basket intended for wicker	0	1.384981632232666
6	electron beam	COMP-R	electron beam is a beam that is composed of electrons	1	0.606620192527771
