id	compound	class	paraphrase	correct	score
0	chain armor	COMP-R	chain armor is an armor that is composed of chains	1	3.7452876567840576
0	chain armor	PARTONOMY	chain armor is an armor that is part of chains	0	4.475378513336182
0	chain armor	USG-R	chain armor is an armor that uses chains	0	4.423158168792725
0	chain armor	PROD-R	chain armor is  an armor that chains produce	0	6.278000831604004
0	chain armor	PRODUCTION	chain armor is an armor that produces chains	0	5.539717674255371
0	chain armor	CONT-R	chain armor is an armor that contains chains	0	4.90156888961792
0	chain armor	TOPIC-R	chain armor is an armor that is about chains	0	5.0957489013671875
0	chain armor	LOCATION	chain armor is  an armor that is located in chains	0	5.143468379974365
0	chain armor	PURPOSE	chain armor is an armor intended for chains	0	6.065270900726318
1	plastic bag	COMP-R	plastic bag is a bag that is composed of plastic	1	2.465327024459839
1	plastic bag	PARTONOMY	plastic bag is a bag that is part of plastic	0	3.2434353828430176
1	plastic bag	USG-R	plastic bag is a bag that uses plastic	0	3.236922264099121
1	plastic bag	PROD-R	plastic bag is  a bag that plastic produces	0	5.508606910705566
1	plastic bag	PRODUCTION	plastic bag is a bag that produces plastic	0	4.067610740661621
1	plastic bag	CONT-R	plastic bag is a bag that contains plastic	0	3.2863433361053467
1	plastic bag	TOPIC-R	plastic bag is a bag that is about plastic	0	3.98673152923584
1	plastic bag	LOCATION	plastic bag is  a bag that is located in plastic	0	4.570611000061035
1	plastic bag	PURPOSE	plastic bag is a bag intended for plastic	0	4.184149742126465
2	crystal ball	COMP-R	crystal ball is a ball that is composed of crystal	1	3.653102159500122
2	crystal ball	PARTONOMY	crystal ball is a ball that is part of crystal	0	3.872833251953125
2	crystal ball	USG-R	crystal ball is a ball that uses crystal	0	4.421823501586914
2	crystal ball	PROD-R	crystal ball is  a ball that crystal produces	0	5.39152717590332
2	crystal ball	PRODUCTION	crystal ball is a ball that produces crystal	0	4.580528259277344
2	crystal ball	CONT-R	crystal ball is a ball that contains crystal	0	4.283113479614258
2	crystal ball	TOPIC-R	crystal ball is a ball that is about crystal	0	4.55588960647583
2	crystal ball	LOCATION	crystal ball is  a ball that is located in crystal	0	4.540534496307373
2	crystal ball	PURPOSE	crystal ball is a ball intended for crystal	0	4.761335372924805
3	popcorn ball	COMP-R	popcorn ball is a ball that is composed of popcorn	1	3.692589521408081
3	popcorn ball	PARTONOMY	popcorn ball is a ball that is part of popcorn	0	4.537561893463135
3	popcorn ball	USG-R	popcorn ball is a ball that uses popcorn	0	4.704009056091309
3	popcorn ball	PROD-R	popcorn ball is  a ball that popcorn produces	0	6.279074668884277
3	popcorn ball	PRODUCTION	popcorn ball is a ball that produces popcorn	0	5.6153411865234375
3	popcorn ball	CONT-R	popcorn ball is a ball that contains popcorn	0	4.425848007202148
3	popcorn ball	TOPIC-R	popcorn ball is a ball that is about popcorn	0	5.018490314483643
3	popcorn ball	LOCATION	popcorn ball is  a ball that is located in popcorn	0	5.249816417694092
3	popcorn ball	PURPOSE	popcorn ball is a ball intended for popcorn	0	5.334163665771484
4	candy bar	COMP-R	candy bar is a bar that is composed of candy	1	3.5604851245880127
4	candy bar	PARTONOMY	candy bar is a bar that is part of candy	0	3.8237175941467285
4	candy bar	USG-R	candy bar is a bar that uses candy	0	4.260621070861816
4	candy bar	PROD-R	candy bar is  a bar that candy produces	0	5.7031121253967285
4	candy bar	PRODUCTION	candy bar is a bar that produces candy	0	4.516263008117676
4	candy bar	CONT-R	candy bar is a bar that contains candy	0	3.7574758529663086
4	candy bar	TOPIC-R	candy bar is a bar that is about candy	0	4.291423320770264
4	candy bar	LOCATION	candy bar is  a bar that is located in candy	0	4.696826934814453
4	candy bar	PURPOSE	candy bar is a bar intended for candy	0	4.516888618469238
5	wicker basket	COMP-R	wicker basket is a basket that is composed of wicker	1	2.61811900138855
5	wicker basket	PARTONOMY	wicker basket is a basket that is part of wicker	0	3.0582358837127686
5	wicker basket	USG-R	wicker basket is a basket that uses wicker	0	2.9544289112091064
5	wicker basket	PROD-R	wicker basket is  a basket that wicker produces	0	4.621654033660889
5	wicker basket	PRODUCTION	wicker basket is a basket that produces wicker	0	3.823604106903076
5	wicker basket	CONT-R	wicker basket is a basket that contains wicker	0	3.2578277587890625
5	wicker basket	TOPIC-R	wicker basket is a basket that is about wicker	0	3.6872031688690186
5	wicker basket	LOCATION	wicker basket is  a basket that is located in wicker	0	3.990931272506714
